product_id,title,description,text
PROD_000012,J.Crew Pink Dress Pants in Cashmere,"This pink dress pants from J.Crew is perfect for casual outings. Made from high-quality cashmere, it features a regular fit and modern design. Available in size XS. Care instructions: Hand wash.","Title: J.Crew Pink Dress Pants in Cashmere
Description: This pink dress pants from J.Crew is perfect for casual outings. Made from high-quality cashmere, it features a regular fit and modern design. Available in size XS. Care instructions: Hand wash."
PROD_000013,Zara Red Jewelry,"This red jewelry from Zara is perfect for formal events. Made from high-quality cashmere, it features a tailored and elegant design. Available in size XL. Care instructions: Hand wash.","Title: Zara Red Jewelry
Description: This red jewelry from Zara is perfect for formal events. Made from high-quality cashmere, it features a tailored and elegant design. Available in size XL. Care instructions: Hand wash."
PROD_000014,J.Crew Maroon Shorts,"This maroon shorts from J.Crew is perfect for office. Made from high-quality polyester, it features a oversized and modern design. Available in size 8. Care instructions: Machine wash.","Title: J.Crew Maroon Shorts
Description: This maroon shorts from J.Crew is perfect for office. Made from high-quality polyester, it features a oversized and modern design. Available in size 8. Care instructions: Machine wash."
PROD_000015,Hollister Orange Leggings,"This orange leggings from Hollister is perfect for special occasions. Made from high-quality polyester, it features a regular fit and elegant design. Available in size 34. Care instructions: Machine wash.","Title: Hollister Orange Leggings
Description: This orange leggings from Hollister is perfect for special occasions. Made from high-quality polyester, it features a regular fit and elegant design. Available in size 34. Care instructions: Machine wash."
PROD_000016,J.Crew Green Tops,"This green tops from J.Crew is perfect for everyday wear. Made from high-quality spandex, it features a loose fit and modern design. Available in size 28. Care instructions: Hand wash.","Title: J.Crew Green Tops
Description: This green tops from J.Crew is perfect for everyday wear. Made from high-quality spandex, it features a loose fit and modern design. Available in size 28. Care instructions: Hand wash."
PROD_000017,Hollister Yellow Flannel Shirts,"This yellow flannel shirts from Hollister is perfect for weekend. Made from high-quality wool, it features a oversized and formal design. Available in size M. Care instructions: Dry clean only.","Title: Hollister Yellow Flannel Shirts
Description: This yellow flannel shirts from Hollister is perfect for weekend. Made from high-quality wool, it features a oversized and formal design. Available in size M. Care instructions: Dry clean only."
PROD_000018,PrettyLittleThing Yellow T-Shirts,"This yellow t-shirts from PrettyLittleThing is perfect for office. Made from high-quality denim, it features a regular fit and formal design. Available in size L. Care instructions: Machine wash.","Title: PrettyLittleThing Yellow T-Shirts
Description: This yellow t-shirts from PrettyLittleThing is perfect for office. Made from high-quality denim, it features a regular fit and formal design. Available in size L. Care instructions: Machine wash."
PROD_000019,Banana Republic Black Polo Shirts,"This black polo shirts from Banana Republic is perfect for formal events. Made from high-quality leather, it features a loose fit and trendy design. Available in size XXL. Care instructions: Dry clean only.","Title: Banana Republic Black Polo Shirts
Description: This black polo shirts from Banana Republic is perfect for formal events. Made from high-quality leather, it features a loose fit and trendy design. Available in size XXL. Care instructions: Dry clean only."
PROD_000020,Old Navy Red Jeans,"This red jeans from Old Navy is perfect for casual outings. Made from high-quality spandex, it features a loose fit and classic design. Available in size 28. Care instructions: Machine wash. Perfect for spring season.","Title: Old Navy Red Jeans
Description: This red jeans from Old Navy is perfect for casual outings. Made from high-quality spandex, it features a loose fit and classic design. Available in size 28. Care instructions: Machine wash. Perfect for spring season."
PROD_000021,COS Brown Dresses in Viscose,"This brown dresses from COS is perfect for everyday wear. Made from high-quality viscose, it features a regular fit and formal design. Available in size 14. Care instructions: Hand wash. Perfect for summer season.","Title: COS Brown Dresses in Viscose
Description: This brown dresses from COS is perfect for everyday wear. Made from high-quality viscose, it features a regular fit and formal design. Available in size 14. Care instructions: Hand wash. Perfect for summer season."
PROD_000022,Old Navy Coral Henley Shirts,"This coral henley shirts from Old Navy is perfect for special occasions. Made from high-quality wool, it features a tailored and classic design. Available in size 28. Care instructions: Machine wash.","Title: Old Navy Coral Henley Shirts
Description: This coral henley shirts from Old Navy is perfect for special occasions. Made from high-quality wool, it features a tailored and classic design. Available in size 28. Care instructions: Machine wash."
PROD_000023,Old Navy Green Belts in Nylon,"This green belts from Old Navy is perfect for special occasions. Made from high-quality nylon, it features a loose fit and stylish design. Available in size XS. Care instructions: Machine wash. Perfect for summer season.","Title: Old Navy Green Belts in Nylon
Description: This green belts from Old Navy is perfect for special occasions. Made from high-quality nylon, it features a loose fit and stylish design. Available in size XS. Care instructions: Machine wash. Perfect for summer season."
PROD_000024,Arket Orange Dress Pants in Cashmere,"This orange dress pants from Arket is perfect for special occasions. Made from high-quality cashmere, it features a loose fit and formal design. Available in size XS. Care instructions: Dry clean only. Perfect for summer season.","Title: Arket Orange Dress Pants in Cashmere
Description: This orange dress pants from Arket is perfect for special occasions. Made from high-quality cashmere, it features a loose fit and formal design. Available in size XS. Care instructions: Dry clean only. Perfect for summer season."
PROD_000025,Prada Mint Coats in Wool,"This mint coats from Prada is perfect for formal events. Made from high-quality wool, it features a slim fit and stylish design. Available in size 14. Care instructions: Dry clean only. Perfect for summer season.","Title: Prada Mint Coats in Wool
Description: This mint coats from Prada is perfect for formal events. Made from high-quality wool, it features a slim fit and stylish design. Available in size 14. Care instructions: Dry clean only. Perfect for summer season."
PROD_000026,Missguided Olive Blazers in Bamboo,"This olive blazers from Missguided is perfect for everyday wear. Made from high-quality bamboo, it features a oversized and stylish design. Available in size 28. Care instructions: Hand wash.","Title: Missguided Olive Blazers in Bamboo
Description: This olive blazers from Missguided is perfect for everyday wear. Made from high-quality bamboo, it features a oversized and stylish design. Available in size 28. Care instructions: Hand wash."
PROD_000027,Massimo Dutti Red Swimwear in Cashmere,"This red swimwear from Massimo Dutti is perfect for formal events. Made from high-quality cashmere, it features a fitted and trendy design. Available in size 10. Care instructions: Dry clean only.","Title: Massimo Dutti Red Swimwear in Cashmere
Description: This red swimwear from Massimo Dutti is perfect for formal events. Made from high-quality cashmere, it features a fitted and trendy design. Available in size 10. Care instructions: Dry clean only."
PROD_000028,Boohoo Blue Dresses,"This blue dresses from Boohoo is perfect for special occasions. Made from high-quality modal, it features a regular fit and elegant design. Available in size 14. Care instructions: Machine wash.","Title: Boohoo Blue Dresses
Description: This blue dresses from Boohoo is perfect for special occasions. Made from high-quality modal, it features a regular fit and elegant design. Available in size 14. Care instructions: Machine wash."
PROD_000029,Hollister Mint Swimwear,"This mint swimwear from Hollister is perfect for everyday wear. Made from high-quality bamboo, it features a oversized and stylish design. Available in size S. Care instructions: Machine wash. Perfect for spring season.","Title: Hollister Mint Swimwear
Description: This mint swimwear from Hollister is perfect for everyday wear. Made from high-quality bamboo, it features a oversized and stylish design. Available in size S. Care instructions: Machine wash. Perfect for spring season."
PROD_000030,Massimo Dutti Olive Boots in Cashmere,"This olive boots from Massimo Dutti is perfect for casual outings. Made from high-quality cashmere, it features a regular fit and classic design. Available in size 12. Care instructions: Dry clean only. Perfect for fall season.","Title: Massimo Dutti Olive Boots in Cashmere
Description: This olive boots from Massimo Dutti is perfect for casual outings. Made from high-quality cashmere, it features a regular fit and classic design. Available in size 12. Care instructions: Dry clean only. Perfect for fall season."
PROD_000031,PrettyLittleThing Pink Jackets,"This pink jackets from PrettyLittleThing is perfect for everyday wear. Made from high-quality viscose, it features a loose fit and trendy design. Available in size 34. Care instructions: Dry clean only.","Title: PrettyLittleThing Pink Jackets
Description: This pink jackets from PrettyLittleThing is perfect for everyday wear. Made from high-quality viscose, it features a loose fit and trendy design. Available in size 34. Care instructions: Dry clean only."
PROD_000032,H&M Teal Leggings in Bamboo,"This teal leggings from H&M is perfect for special occasions. Made from high-quality bamboo, it features a tailored and stylish design. Available in size 10. Care instructions: Dry clean only.","Title: H&M Teal Leggings in Bamboo
Description: This teal leggings from H&M is perfect for special occasions. Made from high-quality bamboo, it features a tailored and stylish design. Available in size 10. Care instructions: Dry clean only."
PROD_000033,Banana Republic Pink Dress Shirts,"This pink dress shirts from Banana Republic is perfect for weekend. Made from high-quality nylon, it features a slim fit and elegant design. Available in size 12. Care instructions: Dry clean only. Perfect for winter season.","Title: Banana Republic Pink Dress Shirts
Description: This pink dress shirts from Banana Republic is perfect for weekend. Made from high-quality nylon, it features a slim fit and elegant design. Available in size 12. Care instructions: Dry clean only. Perfect for winter season."
PROD_000034,Old Navy Maroon Boots,"This maroon boots from Old Navy is perfect for everyday wear. Made from high-quality cashmere, it features a loose fit and formal design. Available in size 10. Care instructions: Dry clean only. Perfect for summer season.","Title: Old Navy Maroon Boots
Description: This maroon boots from Old Navy is perfect for everyday wear. Made from high-quality cashmere, it features a loose fit and formal design. Available in size 10. Care instructions: Dry clean only. Perfect for summer season."
PROD_000035,Banana Republic Orange Joggers,"This orange joggers from Banana Republic is perfect for casual outings. Made from high-quality suede, it features a fitted and formal design. Available in size 16. Care instructions: Dry clean only. Perfect for winter season.","Title: Banana Republic Orange Joggers
Description: This orange joggers from Banana Republic is perfect for casual outings. Made from high-quality suede, it features a fitted and formal design. Available in size 16. Care instructions: Dry clean only. Perfect for winter season."
PROD_000036,Old Navy Red Hoodies,"This red hoodies from Old Navy is perfect for special occasions. Made from high-quality wool, it features a fitted and trendy design. Available in size 34. Care instructions: Machine wash.","Title: Old Navy Red Hoodies
Description: This red hoodies from Old Navy is perfect for special occasions. Made from high-quality wool, it features a fitted and trendy design. Available in size 34. Care instructions: Machine wash."
PROD_000037,American Eagle Green Underwear,"This green underwear from American Eagle is perfect for special occasions. Made from high-quality nylon, it features a regular fit and formal design. Available in size 30. Care instructions: Hand wash.","Title: American Eagle Green Underwear
Description: This green underwear from American Eagle is perfect for special occasions. Made from high-quality nylon, it features a regular fit and formal design. Available in size 30. Care instructions: Hand wash."
PROD_000038,Massimo Dutti Red T-Shirts,"This red t-shirts from Massimo Dutti is perfect for formal events. Made from high-quality nylon, it features a oversized and trendy design. Available in size XS. Care instructions: Hand wash.","Title: Massimo Dutti Red T-Shirts
Description: This red t-shirts from Massimo Dutti is perfect for formal events. Made from high-quality nylon, it features a oversized and trendy design. Available in size XS. Care instructions: Hand wash."
PROD_000039,Hollister Pink Leggings,"This pink leggings from Hollister is perfect for formal events. Made from high-quality spandex, it features a oversized and formal design. Available in size 6. Care instructions: Dry clean only. Perfect for fall season.","Title: Hollister Pink Leggings
Description: This pink leggings from Hollister is perfect for formal events. Made from high-quality spandex, it features a oversized and formal design. Available in size 6. Care instructions: Dry clean only. Perfect for fall season."
PROD_000040,Old Navy Coral Casual Dresses,"This coral casual dresses from Old Navy is perfect for special occasions. Made from high-quality linen, it features a oversized and trendy design. Available in size 28. Care instructions: Hand wash. Perfect for fall season.","Title: Old Navy Coral Casual Dresses
Description: This coral casual dresses from Old Navy is perfect for special occasions. Made from high-quality linen, it features a oversized and trendy design. Available in size 28. Care instructions: Hand wash. Perfect for fall season."
PROD_000041,J.Crew Gray Tops,"This gray tops from J.Crew is perfect for weekend. Made from high-quality nylon, it features a loose fit and stylish design. Available in size 32. Care instructions: Dry clean only. Perfect for summer season.","Title: J.Crew Gray Tops
Description: This gray tops from J.Crew is perfect for weekend. Made from high-quality nylon, it features a loose fit and stylish design. Available in size 32. Care instructions: Dry clean only. Perfect for summer season."
PROD_000042,Gap Blue Sandals in Nylon,"This blue sandals from Gap is perfect for everyday wear. Made from high-quality nylon, it features a regular fit and stylish design. Available in size L. Care instructions: Machine wash.","Title: Gap Blue Sandals in Nylon
Description: This blue sandals from Gap is perfect for everyday wear. Made from high-quality nylon, it features a regular fit and stylish design. Available in size L. Care instructions: Machine wash."
PROD_000043,Shein Navy Heels,"This navy heels from Shein is perfect for office. Made from high-quality suede, it features a oversized and comfortable design. Available in size 10. Care instructions: Dry clean only.","Title: Shein Navy Heels
Description: This navy heels from Shein is perfect for office. Made from high-quality suede, it features a oversized and comfortable design. Available in size 10. Care instructions: Dry clean only."
PROD_000044,Hollister Pink Pajamas,"This pink pajamas from Hollister is perfect for casual outings. Made from high-quality viscose, it features a oversized and elegant design. Available in size XS. Care instructions: Hand wash.","Title: Hollister Pink Pajamas
Description: This pink pajamas from Hollister is perfect for casual outings. Made from high-quality viscose, it features a oversized and elegant design. Available in size XS. Care instructions: Hand wash."
PROD_000045,PrettyLittleThing Mint T-Shirts in Spandex,"This mint t-shirts from PrettyLittleThing is perfect for weekend. Made from high-quality spandex, it features a slim fit and modern design. Available in size XL. Care instructions: Dry clean only. Perfect for winter season.","Title: PrettyLittleThing Mint T-Shirts in Spandex
Description: This mint t-shirts from PrettyLittleThing is perfect for weekend. Made from high-quality spandex, it features a slim fit and modern design. Available in size XL. Care instructions: Dry clean only. Perfect for winter season."
PROD_000046,Gucci Red Tank Tops,"This red tank tops from Gucci is perfect for office. Made from high-quality bamboo, it features a oversized and elegant design. Available in size 30. Care instructions: Machine wash.","Title: Gucci Red Tank Tops
Description: This red tank tops from Gucci is perfect for office. Made from high-quality bamboo, it features a oversized and elegant design. Available in size 30. Care instructions: Machine wash."
PROD_000047,Uniqlo Teal Casual Shirts in Modal,"This teal casual shirts from Uniqlo is perfect for office. Made from high-quality modal, it features a slim fit and stylish design. Available in size L. Care instructions: Machine wash. Perfect for winter season.","Title: Uniqlo Teal Casual Shirts in Modal
Description: This teal casual shirts from Uniqlo is perfect for office. Made from high-quality modal, it features a slim fit and stylish design. Available in size L. Care instructions: Machine wash. Perfect for winter season."
PROD_000048,Gap Yellow Joggers in Cashmere,"This yellow joggers from Gap is perfect for weekend. Made from high-quality cashmere, it features a loose fit and elegant design. Available in size 36. Care instructions: Dry clean only.","Title: Gap Yellow Joggers in Cashmere
Description: This yellow joggers from Gap is perfect for weekend. Made from high-quality cashmere, it features a loose fit and elegant design. Available in size 36. Care instructions: Dry clean only."
PROD_000049,Uniqlo Blue Swimwear,"This blue swimwear from Uniqlo is perfect for special occasions. Made from high-quality suede, it features a tailored and classic design. Available in size XXL. Care instructions: Hand wash. Perfect for winter season.","Title: Uniqlo Blue Swimwear
Description: This blue swimwear from Uniqlo is perfect for special occasions. Made from high-quality suede, it features a tailored and classic design. Available in size XXL. Care instructions: Hand wash. Perfect for winter season."
PROD_000050,Zara Brown Scarves,"This brown scarves from Zara is perfect for weekend. Made from high-quality linen, it features a fitted and trendy design. Available in size XS. Care instructions: Dry clean only.","Title: Zara Brown Scarves
Description: This brown scarves from Zara is perfect for weekend. Made from high-quality linen, it features a fitted and trendy design. Available in size XS. Care instructions: Dry clean only."
PROD_000051,Missguided Purple Swimwear,"This purple swimwear from Missguided is perfect for casual outings. Made from high-quality polyester, it features a fitted and casual design. Available in size 36. Care instructions: Machine wash.","Title: Missguided Purple Swimwear
Description: This purple swimwear from Missguided is perfect for casual outings. Made from high-quality polyester, it features a fitted and casual design. Available in size 36. Care instructions: Machine wash."
PROD_000052,Uniqlo Orange Cardigans,"This orange cardigans from Uniqlo is perfect for special occasions. Made from high-quality spandex, it features a tailored and formal design. Available in size 30. Care instructions: Machine wash. Perfect for winter season.","Title: Uniqlo Orange Cardigans
Description: This orange cardigans from Uniqlo is perfect for special occasions. Made from high-quality spandex, it features a tailored and formal design. Available in size 30. Care instructions: Machine wash. Perfect for winter season."
PROD_000053,Gap Maroon Skirts,"This maroon skirts from Gap is perfect for office. Made from high-quality cashmere, it features a regular fit and trendy design. Available in size 32. Care instructions: Dry clean only.","Title: Gap Maroon Skirts
Description: This maroon skirts from Gap is perfect for office. Made from high-quality cashmere, it features a regular fit and trendy design. Available in size 32. Care instructions: Dry clean only."
PROD_000054,Banana Republic Red Sweaters in Denim,"This red sweaters from Banana Republic is perfect for formal events. Made from high-quality denim, it features a tailored and trendy design. Available in size XS. Care instructions: Machine wash.","Title: Banana Republic Red Sweaters in Denim
Description: This red sweaters from Banana Republic is perfect for formal events. Made from high-quality denim, it features a tailored and trendy design. Available in size XS. Care instructions: Machine wash."
PROD_000055,Gap Red Tops,"This red tops from Gap is perfect for casual outings. Made from high-quality cotton, it features a slim fit and elegant design. Available in size XS. Care instructions: Hand wash.","Title: Gap Red Tops
Description: This red tops from Gap is perfect for casual outings. Made from high-quality cotton, it features a slim fit and elegant design. Available in size XS. Care instructions: Hand wash."
PROD_000056,Hollister Mint Watches,"This mint watches from Hollister is perfect for everyday wear. Made from high-quality linen, it features a tailored and modern design. Available in size XL. Care instructions: Machine wash. Perfect for winter season.","Title: Hollister Mint Watches
Description: This mint watches from Hollister is perfect for everyday wear. Made from high-quality linen, it features a tailored and modern design. Available in size XL. Care instructions: Machine wash. Perfect for winter season."
PROD_000057,J.Crew Yellow Boots,"This yellow boots from J.Crew is perfect for office. Made from high-quality cashmere, it features a loose fit and stylish design. Available in size 28. Care instructions: Hand wash. Perfect for fall season.","Title: J.Crew Yellow Boots
Description: This yellow boots from J.Crew is perfect for office. Made from high-quality cashmere, it features a loose fit and stylish design. Available in size 28. Care instructions: Hand wash. Perfect for fall season."
PROD_000058,Massimo Dutti White Scarves,"This white scarves from Massimo Dutti is perfect for special occasions. Made from high-quality linen, it features a tailored and formal design. Available in size S. Care instructions: Hand wash. Perfect for spring season.","Title: Massimo Dutti White Scarves
Description: This white scarves from Massimo Dutti is perfect for special occasions. Made from high-quality linen, it features a tailored and formal design. Available in size S. Care instructions: Hand wash. Perfect for spring season."
PROD_000059,Banana Republic Black Dresses in Suede,"This black dresses from Banana Republic is perfect for casual outings. Made from high-quality suede, it features a regular fit and classic design. Available in size 32. Care instructions: Hand wash. Perfect for winter season.","Title: Banana Republic Black Dresses in Suede
Description: This black dresses from Banana Republic is perfect for casual outings. Made from high-quality suede, it features a regular fit and classic design. Available in size 32. Care instructions: Hand wash. Perfect for winter season."
PROD_000060,Uniqlo Blue Heels,"This blue heels from Uniqlo is perfect for office. Made from high-quality viscose, it features a loose fit and modern design. Available in size M. Care instructions: Dry clean only. Perfect for winter season.","Title: Uniqlo Blue Heels
Description: This blue heels from Uniqlo is perfect for office. Made from high-quality viscose, it features a loose fit and modern design. Available in size M. Care instructions: Dry clean only. Perfect for winter season."
PROD_000061,Forever 21 Yellow Leggings in Denim,"This yellow leggings from Forever 21 is perfect for everyday wear. Made from high-quality denim, it features a regular fit and stylish design. Available in size 32. Care instructions: Hand wash. Perfect for fall season.","Title: Forever 21 Yellow Leggings in Denim
Description: This yellow leggings from Forever 21 is perfect for everyday wear. Made from high-quality denim, it features a regular fit and stylish design. Available in size 32. Care instructions: Hand wash. Perfect for fall season."
PROD_000062,COS Blue Chinos,"This blue chinos from COS is perfect for everyday wear. Made from high-quality linen, it features a fitted and comfortable design. Available in size XL. Care instructions: Machine wash.","Title: COS Blue Chinos
Description: This blue chinos from COS is perfect for everyday wear. Made from high-quality linen, it features a fitted and comfortable design. Available in size XL. Care instructions: Machine wash."
PROD_000063,Massimo Dutti Maroon Dress Pants,"This maroon dress pants from Massimo Dutti is perfect for casual outings. Made from high-quality cashmere, it features a fitted and stylish design. Available in size 32. Care instructions: Machine wash. Perfect for summer season.","Title: Massimo Dutti Maroon Dress Pants
Description: This maroon dress pants from Massimo Dutti is perfect for casual outings. Made from high-quality cashmere, it features a fitted and stylish design. Available in size 32. Care instructions: Machine wash. Perfect for summer season."
PROD_000064,Gap Black Boots in Leather,"This black boots from Gap is perfect for office. Made from high-quality leather, it features a oversized and comfortable design. Available in size M. Care instructions: Dry clean only.","Title: Gap Black Boots in Leather
Description: This black boots from Gap is perfect for office. Made from high-quality leather, it features a oversized and comfortable design. Available in size M. Care instructions: Dry clean only."
PROD_000065,Massimo Dutti Purple Dress Pants in Bamboo,"This purple dress pants from Massimo Dutti is perfect for casual outings. Made from high-quality bamboo, it features a tailored and elegant design. Available in size 30. Care instructions: Hand wash.","Title: Massimo Dutti Purple Dress Pants in Bamboo
Description: This purple dress pants from Massimo Dutti is perfect for casual outings. Made from high-quality bamboo, it features a tailored and elegant design. Available in size 30. Care instructions: Hand wash."
PROD_000066,American Eagle White Leggings,"This white leggings from American Eagle is perfect for special occasions. Made from high-quality spandex, it features a tailored and modern design. Available in size 36. Care instructions: Machine wash.","Title: American Eagle White Leggings
Description: This white leggings from American Eagle is perfect for special occasions. Made from high-quality spandex, it features a tailored and modern design. Available in size 36. Care instructions: Machine wash."
PROD_000067,Zara Maroon Pajamas,"This maroon pajamas from Zara is perfect for casual outings. Made from high-quality polyester, it features a tailored and trendy design. Available in size 30. Care instructions: Hand wash.","Title: Zara Maroon Pajamas
Description: This maroon pajamas from Zara is perfect for casual outings. Made from high-quality polyester, it features a tailored and trendy design. Available in size 30. Care instructions: Hand wash."
PROD_000068,Old Navy Pink Blouses in Linen,"This pink blouses from Old Navy is perfect for weekend. Made from high-quality linen, it features a loose fit and casual design. Available in size XXL. Care instructions: Hand wash. Perfect for winter season.","Title: Old Navy Pink Blouses in Linen
Description: This pink blouses from Old Navy is perfect for weekend. Made from high-quality linen, it features a loose fit and casual design. Available in size XXL. Care instructions: Hand wash. Perfect for winter season."
PROD_000069,H&M Olive Sandals,"This olive sandals from H&M is perfect for office. Made from high-quality modal, it features a slim fit and casual design. Available in size 14. Care instructions: Hand wash. Perfect for winter season.","Title: H&M Olive Sandals
Description: This olive sandals from H&M is perfect for office. Made from high-quality modal, it features a slim fit and casual design. Available in size 14. Care instructions: Hand wash. Perfect for winter season."
PROD_000070,American Eagle Orange Jackets in Wool,"This orange jackets from American Eagle is perfect for casual outings. Made from high-quality wool, it features a regular fit and casual design. Available in size XXL. Care instructions: Hand wash.","Title: American Eagle Orange Jackets in Wool
Description: This orange jackets from American Eagle is perfect for casual outings. Made from high-quality wool, it features a regular fit and casual design. Available in size XXL. Care instructions: Hand wash."
PROD_000071,Massimo Dutti Orange Cargo Pants,"This orange cargo pants from Massimo Dutti is perfect for office. Made from high-quality bamboo, it features a slim fit and comfortable design. Available in size L. Care instructions: Hand wash. Perfect for spring season.","Title: Massimo Dutti Orange Cargo Pants
Description: This orange cargo pants from Massimo Dutti is perfect for office. Made from high-quality bamboo, it features a slim fit and comfortable design. Available in size L. Care instructions: Hand wash. Perfect for spring season."
PROD_000072,Massimo Dutti Black Boots,"This black boots from Massimo Dutti is perfect for casual outings. Made from high-quality suede, it features a slim fit and modern design. Available in size 28. Care instructions: Dry clean only. Perfect for summer season.","Title: Massimo Dutti Black Boots
Description: This black boots from Massimo Dutti is perfect for casual outings. Made from high-quality suede, it features a slim fit and modern design. Available in size 28. Care instructions: Dry clean only. Perfect for summer season."
PROD_000073,Massimo Dutti Brown Blouses,"This brown blouses from Massimo Dutti is perfect for formal events. Made from high-quality nylon, it features a oversized and modern design. Available in size 6. Care instructions: Dry clean only.","Title: Massimo Dutti Brown Blouses
Description: This brown blouses from Massimo Dutti is perfect for formal events. Made from high-quality nylon, it features a oversized and modern design. Available in size 6. Care instructions: Dry clean only."
PROD_000074,J.Crew Olive Pajamas,"This olive pajamas from J.Crew is perfect for formal events. Made from high-quality modal, it features a tailored and casual design. Available in size L. Care instructions: Hand wash.","Title: J.Crew Olive Pajamas
Description: This olive pajamas from J.Crew is perfect for formal events. Made from high-quality modal, it features a tailored and casual design. Available in size L. Care instructions: Hand wash."
PROD_000075,Primark Olive Sandals,"This olive sandals from Primark is perfect for everyday wear. Made from high-quality nylon, it features a tailored and comfortable design. Available in size 8. Care instructions: Machine wash.","Title: Primark Olive Sandals
Description: This olive sandals from Primark is perfect for everyday wear. Made from high-quality nylon, it features a tailored and comfortable design. Available in size 8. Care instructions: Machine wash."
PROD_000076,American Eagle Navy Boots,"This navy boots from American Eagle is perfect for special occasions. Made from high-quality bamboo, it features a fitted and elegant design. Available in size 32. Care instructions: Hand wash.","Title: American Eagle Navy Boots
Description: This navy boots from American Eagle is perfect for special occasions. Made from high-quality bamboo, it features a fitted and elegant design. Available in size 32. Care instructions: Hand wash."
PROD_000077,Shein Blue Henley Shirts in Bamboo,"This blue henley shirts from Shein is perfect for office. Made from high-quality bamboo, it features a slim fit and casual design. Available in size L. Care instructions: Hand wash. Perfect for fall season.","Title: Shein Blue Henley Shirts in Bamboo
Description: This blue henley shirts from Shein is perfect for office. Made from high-quality bamboo, it features a slim fit and casual design. Available in size L. Care instructions: Hand wash. Perfect for fall season."
